question,option1,option2,option3,option4,answer
What is the capital of France?," ""Berlin"""," ""Madrid"""," ""Paris"""," ""Rome"""," ""Paris"""
What is 2 + 2?," ""3"""," ""4"""," ""5"""," ""6"""," ""4"""
Which planet is known as the Red Planet?," ""Earth"""," ""Mars"""," ""Jupiter"""," ""Saturn"""," ""Mars"""
What is the largest ocean on Earth?," ""Atlantic Ocean"""," ""Indian Ocean"""," ""Arctic Ocean"""," ""Pacific Ocean"""," ""Pacific Ocean"""
Who wrote 'To Kill a Mockingbird'?," ""Harper Lee"""," ""Mark Twain"""," ""Ernest Hemingway"""," ""F. Scott Fitzgerald"""," ""Harper Lee"""
What is the capital of France?," ""Berlin"""," ""Madrid"""," ""Paris"""," ""Rome"""," ""Paris"""
What is 2 + 2?," ""3"""," ""4"""," ""5"""," ""6"""," ""4"""
Which planet is known as the Red Planet?," ""Earth"""," ""Mars"""," ""Jupiter"""," ""Saturn"""," ""Mars"""
What is the largest ocean on Earth?," ""Atlantic Ocean"""," ""Indian Ocean"""," ""Arctic Ocean"""," ""Pacific Ocean"""," ""Pacific Ocean"""
Who wrote 'To Kill a Mockingbird'?," ""Harper Lee"""," ""Mark Twain"""," ""Ernest Hemingway"""," ""F. Scott Fitzgerald"""," ""Harper Lee"""
